zip,income_household_median,,,,,,,,,,,,,
01835,42.75292,,,,,,,,,,,,,
01840,42.70695,,,,,,,,,,,,,
01841,42.71077,,,,,,,,,,,,,
01843,42.68985,,,,,,,,,,,,,
01844,42.73426,,,,,,,,,,,,,
01845,42.67132,,,,,,,,,,,,,
01850,42.65569,,,,,,,,,,,,,
01851,42.62915,,,,,,,,,,,,,
01852,42.63231,,,,,,,,,,,,,
01854,42.64939,,,,,,,,,,,,,
01860,42.83858,,,,,,,,,,,,,
01862,42.57427,,,,,,,,,,,,,
01863,42.63274,,,,,,,,,,,,,
01864,42.58156,,,,,,,,,,,,,
01867,42.53505,,,,,,,,,,,,,
01876,42.61206,,,,,,,,,,,,,
01879,42.66626,,,,,,,,,,,,,
01880,42.50348,,,,,,,,,,,,,
01886,42.58642,,,,,,,,,,,,,
01887,42.56091,,,,,,,,,,,,,
01890,42.45177,,,,,,,,,,,,,
01901,42.46125,,,,,,,,,,,,,
01902,42.4712,,,,,,,,,,,,,
01904,42.49151,,,,,,,,,,,,,
01905,42.46355,,,,,,,,,,,,,
01906,42.46922,,,,,,,,,,,,,
01907,42.47572,,,,,,,,,,,,,
01908,42.42856,,,,,,,,,,,,,
01913,42.85297,,,,,,,,,,,,,
01915,42.56841,,,,,,,,,,,,,
01921,42.6815,,,,,,,,,,,,,
01922,42.75862,,,,,,,,,,,,,
01923,42.57398,,,,,,,,,,,,,
01929,42.63478,,,,,,,,,,,,,
01930,42.62605,,,,,,,,,,,,,
01937,42.58579,,,,,,,,,,,,,
01938,42.68568,,,,,,,,,,,,,
01940,42.53523,,,,,,,,,,,,,
01944,42.58154,,,,,,,,,,,,,
01945,42.49924,,,,,,,,,,,,,
01949,42.6043,,,,,,,,,,,,,
01950,42.81237,,,,,,,,,,,,,
01951,42.77742,,,,,,,,,,,,,
01952,42.84655,,,,,,,,,,,,,
01960,42.53374,,,,,,,,,,,,,
01965,42.56294,,,,,,,,,,,,,
01966,42.65432,,,,,,,,,,,,,
01969,42.72235,,,,,,,,,,,,,
01970,42.51298,,,,,,,,,,,,,
01982,42.62669,,,,,,,,,,,,,
01983,42.63728,,,,,,,,,,,,,
01984,42.60078,,,,,,,,,,,,,
01985,42.7939,,,,,,,,,,,,,
02019,42.0777,,,,,,,,,,,,,
02021,42.17504,,,,,,,,,,,,,
02025,42.23603,,,,,,,,,,,,,
02026,42.24665,,,,,,,,,,,,,
02030,42.2366,,,,,,,,,,,,,
02032,42.15489,,,,,,,,,,,,,
02035,42.06266,,,,,,,,,,,,,
02038,42.08622,,,,,,,,,,,,,
02043,42.21678,,,,,,,,,,,,,
02045,42.28437,,,,,,,,,,,,,
02047,42.14582,,,,,,,,,,,,,
02048,42.01626,,,,,,,,,,,,,
02050,42.11443,,,,,,,,,,,,,
02052,42.1848,,,,,,,,,,,,,
02053,42.15352,,,,,,,,,,,,,
02054,42.1693,,,,,,,,,,,,,
02056,42.11632,,,,,,,,,,,,,
02061,42.16075,,,,,,,,,,,,,
02062,42.18563,,,,,,,,,,,,,
02066,42.20129,,,,,,,,,,,,,
02067,42.10778,,,,,,,,,,,,,
02071,42.10392,,,,,,,,,,,,,
02072,42.1192,,,,,,,,,,,,,
02081,42.14689,,,,,,,,,,,,,
02090,42.22024,,,,,,,,,,,,,
02093,42.05129,,,,,,,,,,,,,
02108,42.35657,,,,,,,,,,,,,
02109,42.36498,,,,,,,,,,,,,
02110,42.35797,,,,,,,,,,,,,
02111,42.35067,,,,,,,,,,,,,
02113,42.36526,,,,,,,,,,,,,
02114,42.36337,,,,,,,,,,,,,
02115,42.34046,,,,,,,,,,,,,
02116,42.35105,,,,,,,,,,,,,
02118,42.33806,,,,,,,,,,,,,
02119,42.32405,,,,,,,,,,,,,
02120,42.33212,,,,,,,,,,,,,
02121,42.3057,,,,,,,,,,,,,
02122,42.29427,,,,,,,,,,,,,
02124,42.28583,,,,,,,,,,,,,
02125,42.31578,,,,,,,,,,,,,
02126,42.27588,,,,,,,,,,,,,
02127,42.33455,,,,,,,,,,,,,
02128,42.37324,,,,,,,,,,,,,
02129,42.37975,,,,,,,,,,,,,
02130,42.30823,,,,,,,,,,,,,
02131,42.28392,,,,,,,,,,,,,
02132,42.27931,,,,,,,,,,,,,
02133,42.35838,,,,,,,,,,,,,
02134,42.35855,,,,,,,,,,,,,
02135,42.34989,,,,,,,,,,,,,
02136,42.25505,,,,,,,,,,,,,
02138,42.37997,,,,,,,,,,,,,
02139,42.36224,,,,,,,,,,,,,
02140,42.39332,,,,,,,,,,,,,
02141,42.37041,,,,,,,,,,,,,
02142,42.36295,,,,,,,,,,,,,
02143,42.38142,,,,,,,,,,,,,
02144,42.40088,,,,,,,,,,,,,
02145,42.39206,,,,,,,,,,,,,
02148,42.43048,,,,,,,,,,,,,
02149,42.40643,,,,,,,,,,,,,
02150,42.39587,,,,,,,,,,,,,
02151,42.41887,,,,,,,,,,,,,
02152,42.37724,,,,,,,,,,,,,
02155,42.42324,,,,,,,,,,,,,
02163,42.36717,,,,,,,,,,,,,
02169,42.23971,,,,,,,,,,,,,
02170,42.26644,,,,,,,,,,,,,
02171,42.28709,,,,,,,,,,,,,
02176,42.45561,,,,,,,,,,,,,
02180,42.47396,,,,,,,,,,,,,
02184,42.20386,,,,,,,,,,,,,
02186,42.23854,,,,,,,,,,,,,
02188,42.20724,,,,,,,,,,,,,
02189,42.2111,,,,,,,,,,,,,
02190,42.16625,,,,,,,,,,,,,
02191,42.24434,,,,,,,,,,,,,
02199,42.34748,,,,,,,,,,,,,
02203,42.36144,,,,,,,,,,,,,
02205,42.34935,,,,,,,,,,,,,
02210,42.34815,,,,,,,,,,,,,
